# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.04 kappa_step=0.005 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=512 ny=512 dt=0.01 dx=0.5 flux_n=64 phi=0.0015339808 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=6 spacing=64 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,2.240423e-2,-1.014257e-3,-1.933766e-3,6.400000e1,2.220000e1,-4.623372e-1
5.000000e-3,50,2.652872e-2,-8.987991e-3,1.675297e-3,6.400000e1,2.464000e1,-4.635773e-1
1.000000e-2,50,1.370700e-2,-8.658009e-3,-4.638219e-4,6.400000e1,2.800000e1,-4.642346e-1
1.500000e-2,50,1.870159e-2,-9.447695e-3,1.251130e-3,6.400000e1,2.808000e1,-4.643631e-1
2.000000e-2,50,1.616954e-2,-1.193093e-2,1.569859e-4,6.400000e1,3.100000e1,-4.648493e-1
2.500000e-2,50,1.551467e-2,-1.114600e-2,-1.569859e-4,6.400000e1,3.100000e1,-4.647225e-1
3.000000e-2,50,1.956936e-2,-1.318681e-2,2.668760e-3,6.400000e1,3.264000e1,-4.646719e-1
3.500000e-2,50,1.873057e-2,-1.302983e-2,2.668760e-3,6.400000e1,3.616000e1,-4.648033e-1
4.000000e-2,50,1.542271e-2,-1.224490e-2,3.139717e-4,6.400000e1,3.770000e1,-4.646691e-1
