# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=5000 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,10,8.897176e-2,4.989369e-3,1.332801e-2,6.400000e1,1.320000e1,-4.483430e-1
1.000000e-2,10,7.073269e-2,-1.853862e-2,-3.873745e-3,6.400000e1,1.670000e1,-4.520067e-1
2.000000e-2,10,5.474196e-2,-1.111111e-2,-2.777778e-3,6.400000e1,1.700000e1,-4.546170e-1
3.000000e-2,10,6.044468e-2,-1.741144e-2,-1.900633e-5,6.400000e1,1.890000e1,-4.563334e-1
4.000000e-2,10,6.501707e-2,-1.972520e-2,6.006006e-3,6.400000e1,2.200000e1,-4.576754e-1
5.000000e-2,10,4.116060e-2,-1.532640e-2,-1.528412e-2,6.400000e1,2.300000e1,-4.582851e-1
