# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.2
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,2.621838e-2,3.624924e-3,-1.842251e-3,6.400000e1,2.552000e1,-4.645732e-1
1.000000e-2,50,1.318681e-2,-2.197802e-3,-1.569859e-3,6.400000e1,2.700000e1,-4.661062e-1
2.000000e-2,50,1.636337e-2,-5.097135e-3,-2.541209e-3,6.400000e1,2.928000e1,-4.667761e-1
3.000000e-2,50,1.187584e-2,-7.653061e-3,-2.869898e-3,6.400000e1,3.116000e1,-4.669953e-1
4.000000e-2,50,1.065504e-2,-7.653061e-3,0.000000e0,6.400000e1,3.300000e1,-4.670615e-1
5.000000e-2,50,1.416270e-2,-1.020408e-2,9.566327e-4,6.400000e1,3.452000e1,-4.669899e-1
