# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=100 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.2
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,10,2.097384e-1,-9.274036e-3,-2.113216e-3,2.090000e2,1.540000e1,-3.780958e-1
1.000000e-2,10,1.130616e-1,-2.127741e-2,-1.441832e-2,2.090000e2,2.630000e1,-4.166955e-1
2.000000e-2,10,6.917549e-2,-2.123957e-2,-9.314400e-3,2.090000e2,3.010000e1,-4.251643e-1
3.000000e-2,10,5.444629e-2,-2.521188e-2,-6.296760e-3,2.090000e2,3.620000e1,-4.286653e-1
4.000000e-2,10,4.752827e-2,-2.486772e-2,-3.174603e-3,2.090000e2,4.050000e1,-4.307146e-1
5.000000e-2,10,4.814815e-2,-2.962963e-2,-4.761905e-3,2.090000e2,4.340000e1,-4.316753e-1
