# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=32 phi=0.0030679617 B=0.0030679617 seed=42
# defects: mode=random count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,30,4.697831e-2,1.405215e-2,2.982551e-3,3.200000e1,-6.000000e-1,-4.617727e-1
5.000000e-3,30,4.205503e-2,9.314550e-3,5.046257e-3,3.200000e1,2.633333e0,-4.654005e-1
1.000000e-2,30,2.131199e-2,8.399646e-4,-1.790451e-3,3.200000e1,3.000000e0,-4.666848e-1
1.500000e-2,30,2.576854e-2,-7.119922e-3,-1.814882e-3,3.200000e1,3.533333e0,-4.673512e-1
2.000000e-2,30,2.422475e-2,-1.005543e-2,1.765831e-3,3.200000e1,4.433333e0,-4.678266e-1
2.500000e-2,30,1.977840e-2,-3.753754e-3,-2.873563e-3,3.200000e1,5.000000e0,-4.682738e-1
3.000000e-2,30,1.280788e-2,-2.955665e-3,5.911330e-3,3.200000e1,6.000000e0,-4.688274e-1
3.500000e-2,30,1.889307e-2,-1.190959e-2,9.562446e-4,3.200000e1,6.000000e0,-4.690676e-1
4.000000e-2,30,2.231237e-2,-1.318458e-2,3.042596e-3,3.200000e1,6.933333e0,-4.693552e-1
4.499999e-2,30,1.115619e-2,-9.127789e-3,2.028398e-3,3.200000e1,7.000000e0,-4.693133e-1
4.999999e-2,30,1.825558e-2,-1.115619e-2,3.042596e-3,3.200000e1,7.000000e0,-4.692150e-1
