# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,10,2.344760e-1,-1.509688e-2,-2.644796e-2,2.090000e2,1.170000e1,-3.901542e-1
1.000000e-2,10,1.084026e-1,-2.411438e-2,-1.427764e-2,2.090000e2,1.800000e1,-4.291359e-1
2.000000e-2,10,6.971844e-2,-2.196337e-2,-9.938386e-3,2.090000e2,2.090000e1,-4.380930e-1
3.000000e-2,10,5.757549e-2,-2.319531e-2,-2.647987e-3,2.090000e2,2.390000e1,-4.412855e-1
4.000000e-2,10,4.519271e-2,-2.063492e-2,-3.703704e-3,2.090000e2,2.600000e1,-4.430209e-1
5.000000e-2,10,5.167029e-2,-2.645503e-2,3.174603e-3,2.090000e2,2.750000e1,-4.438423e-1
