# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=512 ny=512 dt=0.01 dx=1 flux_n=256 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=256 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,2.620547e-2,1.002378e-3,4.487858e-4,2.560000e2,7.734000e1,-4.630912e-1
1.000000e-2,50,1.665831e-2,-3.479548e-3,1.425343e-3,2.560000e2,8.634000e1,-4.642162e-1
2.000000e-2,50,1.444089e-2,-6.815956e-3,-1.572795e-4,2.560000e2,9.216000e1,-4.646188e-1
3.000000e-2,50,1.615860e-2,-8.973239e-3,4.764552e-4,2.560000e2,9.708000e1,-4.648204e-1
4.000000e-2,50,1.662143e-2,-9.687922e-3,1.111729e-3,2.560000e2,1.056600e2,-4.649540e-1
5.000000e-2,50,1.764935e-2,-1.278612e-2,7.146828e-4,2.560000e2,1.163400e2,-4.651205e-1
