# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,9.219238e-3,-9.764671e-5,-1.952934e-4,2.090000e2,3.724000e1,-4.470570e-1
1.000000e-2,50,1.048865e-2,-4.882336e-3,7.080504e-20,2.090000e2,3.978000e1,-4.475406e-1
2.000000e-2,50,7.949830e-3,-4.979982e-3,-6.835270e-4,2.090000e2,4.058000e1,-4.477859e-1
3.000000e-2,50,8.495264e-3,-4.979982e-3,-5.858803e-4,2.090000e2,4.210000e1,-4.479979e-1
4.000000e-2,50,7.559244e-3,-3.710575e-3,-7.811737e-4,2.090000e2,4.416000e1,-4.482335e-1
5.000000e-2,50,6.932917e-3,-4.198809e-3,1.952934e-4,2.090000e2,4.600000e1,-4.484350e-1
