# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=121 radius=3 spacing=24 alpha_default=1 alpha_defect=-1
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,1.183348e-2,1.505080e-3,2.100840e-3,6.400000e1,4.292000e1,-4.423500e-1
1.000000e-2,50,7.005787e-3,-9.137984e-4,0.000000e0,6.400000e1,4.300000e1,-4.432008e-1
2.000000e-2,50,7.919586e-3,-2.436796e-3,-7.080504e-20,6.400000e1,4.200000e1,-4.435063e-1
3.000000e-2,50,1.231015e-2,-3.350594e-3,0.000000e0,6.400000e1,4.254000e1,-4.436098e-1
4.000000e-2,50,8.231921e-3,-6.133525e-3,6.091989e-4,6.400000e1,4.866000e1,-4.442470e-1
5.000000e-2,50,4.947434e-3,-3.710575e-3,0.000000e0,6.400000e1,4.900000e1,-4.441435e-1
