# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=512 ny=512 dt=0.01 dx=0.5 flux_n=64 phi=0.0015339808 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=6 spacing=64 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,2.240423e-2,-1.014257e-3,-1.933766e-3,6.400000e1,2.220000e1,-4.623372e-1
1.000000e-2,50,2.817097e-2,-1.248858e-2,1.522997e-3,6.400000e1,2.494000e1,-4.633075e-1
2.000000e-2,50,2.322861e-2,-1.777984e-2,1.546073e-4,6.400000e1,2.810000e1,-4.634260e-1
3.000000e-2,50,2.263671e-2,-1.716141e-2,-6.184292e-4,6.400000e1,3.000000e1,-4.629913e-1
4.000000e-2,50,2.564826e-2,-2.149041e-2,3.092146e-4,6.400000e1,3.006000e1,-4.621996e-1
5.000000e-2,50,2.898659e-2,-2.179963e-2,1.546073e-3,6.400000e1,3.424000e1,-4.617490e-1
