t,delta_theta
12.760000,0.000105
12.800000,0.000083
12.840000,0.000060
12.880000,0.000038
12.920000,0.000017
12.960000,0.000004
13.000000,0.000025
13.040000,0.000045
13.080000,0.000065
13.120000,0.000084
13.160000,0.000103
13.200000,0.000122
13.240000,0.000139
13.280000,0.000157
13.320000,0.000174
13.360000,0.000190
13.400000,0.000206
13.440000,0.000221
13.480000,0.000236
13.520000,0.000251
13.560000,0.000264
13.600000,0.000278
13.640000,0.000290
13.680000,0.000303
13.720000,0.000315
13.760000,0.000326
13.800000,0.000337
13.840000,0.000347
13.880000,0.000357
13.920000,0.000366
13.960000,0.000375
14.000000,0.000384
14.040000,0.000392
14.080000,0.000399
14.120000,0.000406
14.160000,0.000413
14.200000,0.000419
14.240000,0.000424
14.280000,0.000430
14.320000,0.000434
14.360000,0.000439
14.400000,0.000442
14.440000,0.000446
14.480000,0.000449
14.520000,0.000451
14.560000,0.000453
14.600000,0.000455
14.640000,0.000456
14.680000,0.000456
14.720000,0.000456
14.760000,0.000456
14.800000,0.000455
14.840000,0.000454
14.880000,0.000452
14.920000,0.000449
14.960000,0.000447
15.000000,0.000443
15.040000,0.000439
15.080000,0.000435
15.120000,0.000430
15.160000,0.000425
15.200000,0.000419
15.240000,0.000413
15.280000,0.000406
15.320000,0.000399
15.360000,0.000391
15.400000,0.000383
15.440000,0.000374
15.480000,0.000365
15.520000,0.000356
15.560000,0.000346
15.600000,0.000336
15.640000,0.000325
15.680000,0.000315
15.720000,0.000304
15.760000,0.000292
15.800000,0.000281
15.840000,0.000269
15.880000,0.000257
15.920000,0.000245
15.960000,0.000233
16.000000,0.000221
16.040000,0.000209
16.080000,0.000196
16.120000,0.000184
16.160000,0.000171
16.200000,0.000159
16.240000,0.000147
16.280000,0.000135
16.320000,0.000123
16.360000,0.000111
16.400000,0.000099
16.440000,0.000087
16.480000,0.000076
16.520000,0.000065
16.560000,0.000053
16.600000,0.000043
16.640000,0.000032
16.680000,0.000021
16.720000,0.000011
16.760000,0.000001
16.800000,0.000009
16.840000,0.000019
16.880000,0.000028
16.920000,0.000038
16.960000,0.000047
17.000000,0.000056
17.040000,0.000065
17.080000,0.000073
17.120000,0.000082
17.160000,0.000090
17.200000,0.000099
17.240000,0.000107
17.280000,0.000115
17.320000,0.000123
17.360000,0.000131
17.400000,0.000139
17.440000,0.000146
17.480000,0.000154
17.520000,0.000162
17.560000,0.000170
17.600000,0.000177
17.640000,0.000185
17.680000,0.000193
17.720000,0.000201
17.760000,0.000209
17.800000,0.000217
17.840000,0.000225
17.880000,0.000233
17.920000,0.000241
17.960000,0.000250
18.000000,0.000259
18.040000,0.000267
18.080000,0.000276
18.120000,0.000286
18.160000,0.000295
18.200000,0.000305
18.240000,0.000315
18.280000,0.000325
18.320000,0.000335
18.360000,0.000346
18.400000,0.000357
18.440000,0.000368
18.480000,0.000380
18.520000,0.000392
18.560000,0.000405
18.600000,0.000417
18.640000,0.000431
18.680000,0.000444
