t,delta_theta
55.800000,3.541230
55.840000,3.620008
55.880000,3.698496
55.920000,3.776551
55.960000,3.854034
56.000000,3.930810
56.040000,4.006751
56.080000,4.081735
56.120000,4.155647
56.160000,4.228380
56.200000,4.299839
56.240000,4.369934
56.280000,4.438590
56.320000,4.505738
56.360000,4.571321
56.400000,4.635290
56.440000,4.697609
56.480000,4.758248
56.520000,4.817187
56.560000,4.874416
56.600000,4.929930
56.640000,4.983733
56.680000,5.035836
56.720000,5.086255
56.760000,5.135011
56.800000,5.182133
56.840000,5.227650
56.880000,5.271597
56.920000,5.314014
56.960000,5.354939
57.000000,5.394417
57.040000,5.432493
57.080000,5.469212
57.120000,5.504622
57.160000,5.538772
57.200000,5.571711
57.240000,5.603487
57.280000,5.634151
57.320000,5.663752
57.360000,5.692337
57.400000,5.719957
57.440000,5.746658
57.480000,5.772487
57.520000,5.797491
57.560000,5.821716
57.600000,5.845204
57.640000,5.867999
57.680000,5.890143
57.720000,5.911676
57.760000,5.932636
57.800000,5.953061
57.840000,5.972987
57.880000,5.992446
57.920000,6.011471
57.960000,6.030091
58.000000,6.048333
58.040000,6.066224
58.080000,6.083786
58.120000,6.101039
58.160000,6.118001
58.200000,6.134687
58.240000,6.151110
58.280000,6.167280
58.320000,6.183202
58.360000,6.198880
58.400000,6.214317
58.440000,6.229510
58.480000,6.244455
58.520000,6.259145
58.560000,6.273573
58.600000,6.287726
58.640000,6.301593
58.680000,6.315159
58.720000,6.328412
58.760000,6.341335
58.800000,6.353915
58.840000,6.366135
58.880000,6.377984
58.920000,6.389448
58.960000,6.400517
59.000000,6.411183
59.040000,6.421438
59.080000,6.431281
59.120000,6.440709
59.160000,6.449725
59.200000,6.458334
59.240000,6.466545
59.280000,6.474368
59.320000,6.481818
59.360000,6.488911
59.400000,6.495665
59.440000,6.502103
59.480000,6.508247
59.520000,6.514122
59.560000,6.519755
59.600000,6.525172
59.640000,6.530402
59.680000,6.535473
59.720000,6.540416
59.760000,6.545258
59.800000,6.550029
59.840000,6.554758
59.880000,6.559473
59.920000,6.564204
59.960000,6.568976
60.000000,6.573817
60.040000,6.578753
60.080000,6.583810
60.120000,6.589011
60.160000,6.594380
60.200000,6.599941
60.240000,6.605716
60.280000,6.611724
60.320000,6.617989
60.360000,6.624528
60.400000,6.631361
60.440000,6.638506
60.480000,6.645982
60.520000,6.653805
60.560000,6.661992
60.600000,6.670558
60.640000,6.679520
60.680000,6.688892
60.720000,6.698687
60.760000,6.708921
60.800000,6.719606
60.840000,6.730755
60.880000,6.742380
60.920000,6.754493
60.960000,6.767105
61.000000,6.780226
61.040000,6.793866
61.080000,6.808034
61.120000,6.822740
61.160000,6.837990
61.200000,6.853792
61.240000,6.870153
61.280000,6.887076
61.320000,6.904567
61.360000,6.922630
61.400000,6.941266
61.440000,6.960477
61.480000,6.980263
61.520000,7.000622
61.560000,7.021554
61.600000,7.043052
61.640000,7.065114
61.680000,7.087731
61.720000,7.110896
61.760000,7.134599
61.800000,7.158829
61.840000,7.183574
61.880000,7.208818
61.920000,7.234547
61.960000,7.260741
62.000000,7.287383
62.040000,7.314451
62.080000,7.341923
62.120000,7.369776
62.160000,7.397983
62.200000,7.426518
62.240000,7.455354
62.280000,7.484461
62.320000,7.513809
62.360000,7.543368
62.400000,7.573104
62.440000,7.602986
62.480000,7.632980
62.520000,7.663053
62.560000,7.693172
62.600000,7.723301
62.640000,7.753409
62.680000,7.783460
62.720000,7.813424
62.760000,7.843267
62.800000,7.872958
62.840000,7.902467
62.880000,7.931765
62.920000,7.960825
62.960000,7.989619
63.000000,8.018125
63.040000,8.046318
63.080000,8.074178
63.120000,8.101687
63.160000,8.128829
63.200000,8.155588
63.240000,8.181953
63.280000,8.207916
63.320000,8.233469
63.360000,8.258608
63.400000,8.283332
63.440000,8.307642
63.480000,8.331542
63.520000,8.355039
63.560000,8.378142
63.600000,8.400864
63.640000,8.423220
63.680000,8.445227
63.720000,8.466907
63.760000,8.488282
63.800000,8.509378
63.840000,8.530225
63.880000,8.550852
63.920000,8.571295
63.960000,8.591588
64.000000,8.611771
64.040000,8.631883
64.080000,8.651969
64.120000,8.672072
64.160000,8.692241
64.200000,8.712525
64.240000,8.732973
64.280000,8.753639
64.320000,8.774576
64.360000,8.795841
64.400000,8.817490
64.440000,8.839581
64.480000,8.862174
64.520000,8.885328
64.560000,8.909105
64.600000,8.933565
64.640000,8.958769
64.680000,8.984781
64.720000,9.011661
64.760000,9.039472
64.800000,9.068274
64.840000,9.098128
64.880000,9.129094
64.920000,9.161230
64.960000,9.194593
65.000000,9.229239
65.040000,9.265222
65.080000,9.302592
65.120000,9.341398
65.160000,9.381687
65.200000,9.423502
65.240000,9.466881
65.280000,9.511860
65.320000,9.558470
65.360000,9.606738
65.400000,9.656687
65.440000,9.708332
65.480000,9.761685
65.520000,9.816752
65.560000,9.873531
65.600000,9.932017
65.640000,9.992194
65.680000,10.054042
65.720000,10.117535
65.760000,10.182637
65.800000,10.249306
65.840000,10.317494
65.880000,10.387145
65.920000,10.458195
65.960000,10.530575
66.000000,10.604209
66.040000,10.679014
66.080000,10.754903
66.120000,10.831780
66.160000,10.909549
66.200000,10.988106
66.240000,11.067345
66.280000,11.147156
66.320000,11.227428
66.360000,11.308046
66.400000,11.388896
66.440000,11.469862
66.480000,11.550828
66.520000,11.631680
66.560000,11.712303
66.600000,11.792585
66.640000,11.872416
66.680000,11.951687
66.720000,12.030294
66.760000,12.108133
66.800000,12.185106
66.840000,12.261115
66.880000,12.336069
66.920000,12.409878
66.960000,12.482455
67.000000,12.553719
67.040000,12.623591
67.080000,12.691995
67.120000,12.758858
67.160000,12.824112
67.200000,12.887692
67.240000,12.949535
67.280000,13.009583
67.320000,13.067780
67.360000,13.124073
67.400000,13.178415
67.440000,13.230759
67.480000,13.281065
67.520000,13.329294
67.560000,13.375413
67.600000,13.419391
67.640000,13.461203
67.680000,13.500826
67.720000,13.538245
67.760000,13.573446
67.800000,13.606423
67.840000,13.637173
67.880000,13.665698
67.920000,13.692008
67.960000,13.716116
68.000000,13.738041
68.040000,13.757808
68.080000,13.775447
68.120000,13.790995
68.160000,13.804493
68.200000,13.815988
68.240000,13.825532
68.280000,13.833183
68.320000,13.839004
68.360000,13.843062
68.400000,13.845428
68.440000,13.846178
68.480000,13.845391
68.520000,13.843150
68.560000,13.839540
68.600000,13.834649
68.640000,13.828567
68.680000,13.821384
68.720000,13.813194
68.760000,13.804089
68.800000,13.794163
68.840000,13.783506
68.880000,13.772212
68.920000,13.760371
68.960000,13.748072
69.000000,13.735401
69.040000,13.722443
69.080000,13.709280
69.120000,13.695992
69.160000,13.682654
69.200000,13.669339
69.240000,13.656117
69.280000,13.643055
69.320000,13.630213
69.360000,13.617652
69.400000,13.605426
69.440000,13.593588
69.480000,13.582185
69.520000,13.571264
69.560000,13.560864
69.600000,13.551026
69.640000,13.541783
69.680000,13.533169
69.720000,13.525213
69.760000,13.517943
69.800000,13.511382
69.840000,13.505554
69.880000,13.500478
69.920000,13.496172
69.960000,13.492654
70.000000,13.489938
70.040000,13.488038
70.080000,13.486965
70.120000,13.486731
70.160000,13.487345
70.200000,13.488816
70.240000,13.491154
70.280000,13.494363
70.320000,13.498453
70.360000,13.503429
70.400000,13.509296
70.440000,13.516062
70.480000,13.523729
70.520000,13.532305
70.560000,13.541793
70.600000,13.552198
70.640000,13.563525
70.680000,13.575778
70.720000,13.588961
70.760000,13.603079
70.800000,13.618136
70.840000,13.634135
70.880000,13.651081
70.920000,13.668977
70.960000,13.687826
71.000000,13.707632
71.040000,13.728398
71.080000,13.750124
71.120000,13.772814
71.160000,13.796468
71.200000,13.821086
71.240000,13.846667
71.280000,13.873209
71.320000,13.900710
71.360000,13.929164
71.400000,13.958566
71.440000,13.988906
71.480000,14.020175
71.520000,14.052359
71.560000,14.085444
71.600000,14.119410
71.640000,14.154236
71.680000,14.189896
71.720000,14.226361
71.760000,14.263598
71.800000,14.301569
71.840000,14.340230
71.880000,14.379533
71.920000,14.419425
71.960000,14.459845
72.000000,14.500729
72.040000,14.542005
72.080000,14.583593
72.120000,14.625410
72.160000,14.667363
72.200000,14.709355
72.240000,14.751279
72.280000,14.793027
72.320000,14.834479
72.360000,14.875513
72.400000,14.916001
72.440000,14.955809
72.480000,14.994801
72.520000,15.032834
72.560000,15.069767
72.600000,15.105453
72.640000,15.139748
72.680000,15.172504
72.720000,15.203579
72.760000,15.232830
72.800000,15.260119
72.840000,15.285312
72.880000,15.308281
72.920000,15.328906
72.960000,15.347073
73.000000,15.362679
73.040000,15.375630
73.080000,15.385843
73.120000,15.393247
73.160000,15.397785
73.200000,15.399411
73.240000,15.398097
73.280000,15.393825
73.320000,15.386597
73.360000,15.376429
73.400000,15.363352
73.440000,15.347414
73.480000,15.328682
73.520000,15.307234
73.560000,15.283170
73.600000,15.256602
73.640000,15.227658
73.680000,15.196481
73.720000,15.163228
73.760000,15.128066
73.800000,15.091176
73.840000,15.052747
73.880000,15.012977
73.920000,14.972070
73.960000,14.930234
74.000000,14.887681
74.040000,14.844623
74.080000,14.801272
74.120000,14.757835
74.160000,14.714516
74.200000,14.671514
74.240000,14.629018
74.280000,14.587210
74.320000,14.546261
74.360000,14.506332
74.400000,14.467574
74.440000,14.430123
74.480000,14.394105
74.520000,14.359635
74.560000,14.326814
74.600000,14.295733
74.640000,14.266470
74.680000,14.239095
74.720000,14.213665
74.760000,14.190230
74.800000,14.168830
74.840000,14.149495
74.880000,14.132252
74.920000,14.117119
74.960000,14.104106
75.000000,14.093221
75.040000,14.084466
75.080000,14.077838
75.120000,14.073332
75.160000,14.070939
75.200000,14.070648
75.240000,14.072445
75.280000,14.076314
75.320000,14.082237
75.360000,14.090197
75.400000,14.100173
75.440000,14.112145
75.480000,14.126090
75.520000,14.141987
75.560000,14.159813
75.600000,14.179544
75.640000,14.201156
75.680000,14.224624
75.720000,14.249925
75.760000,14.277031
75.800000,14.305919
75.840000,14.336561
75.880000,14.368930
75.920000,14.403000
75.960000,14.438744
76.000000,14.476132
76.040000,14.515137
76.080000,14.555729
76.120000,14.597881
76.160000,14.641561
76.200000,14.686740
76.240000,14.733389
76.280000,14.781476
76.320000,14.830972
76.360000,14.881846
76.400000,14.934068
76.440000,14.987609
76.480000,15.042438
76.520000,15.098527
76.560000,15.155847
76.600000,15.214370
76.640000,15.274070
76.680000,15.334921
76.720000,15.396897
76.760000,15.459975
76.800000,15.524132
76.840000,15.589347
76.880000,15.655600
76.920000,15.722872
76.960000,15.791144
77.000000,15.860402
77.040000,15.930627
77.080000,16.001807
77.120000,16.073927
77.160000,16.146972
77.200000,16.220928
77.240000,16.295782
77.280000,16.371519
77.320000,16.448121
77.360000,16.525572
77.400000,16.603850
77.440000,16.682934
77.480000,16.762796
77.520000,16.843408
77.560000,16.924734
77.600000,17.006735
77.640000,17.089366
77.680000,17.172577
77.720000,17.256309
77.760000,17.340499
77.800000,17.425076
77.840000,17.509963
77.880000,17.595075
77.920000,17.680320
77.960000,17.765602
78.000000,17.850817
78.040000,17.935857
78.080000,18.020610
78.120000,18.104959
78.160000,18.188787
78.200000,18.271976
78.240000,18.354407
78.280000,18.435964
78.320000,18.516533
78.360000,18.596006
78.400000,18.674278
78.440000,18.751254
78.480000,18.826844
78.520000,18.900970
78.560000,18.973559
78.600000,19.044554
78.640000,19.113903
78.680000,19.181568
78.720000,19.247523
78.760000,19.311748
78.800000,19.374240
78.840000,19.435002
78.880000,19.494047
78.920000,19.551399
78.960000,19.607091
79.000000,19.661162
79.040000,19.713659
79.080000,19.764635
79.120000,19.814150
79.160000,19.862269
79.200000,19.909059
79.240000,19.954593
79.280000,19.998945
79.320000,20.042191
79.360000,20.084411
79.400000,20.125683
79.440000,20.166088
79.480000,20.205704
79.520000,20.244612
79.560000,20.282890
79.600000,20.320614
79.640000,20.357861
79.680000,20.394705
79.720000,20.431219
79.760000,20.467470
79.800000,20.503529
79.840000,20.539459
79.880000,20.575323
79.920000,20.611181
79.960000,20.647090
80.000000,20.683103
80.040000,20.719273
80.080000,20.755646
80.120000,20.792269
80.160000,20.829183
80.200000,20.866426
80.240000,20.904035
80.280000,20.942042
80.320000,20.980476
80.360000,21.019364
80.400000,21.058727
80.440000,21.098586
80.480000,21.138957
80.520000,21.179852
80.560000,21.221280
80.600000,21.263249
80.640000,21.305759
80.680000,21.348812
80.720000,21.392401
80.760000,21.436519
80.800000,21.481155
80.840000,21.526294
80.880000,21.571917
80.920000,21.618002
80.960000,21.664524
81.000000,21.711453
81.040000,21.758758
81.080000,21.806401
81.120000,21.854345
81.160000,21.902545
81.200000,21.950957
81.240000,21.999532
81.280000,22.048217
81.320000,22.096958
81.360000,22.145698
81.400000,22.194378
81.440000,22.242935
81.480000,22.291305
81.520000,22.339424
81.560000,22.387223
81.600000,22.434634
81.640000,22.481589
81.680000,22.528017
81.720000,22.573847
81.760000,22.619009
81.800000,22.663433
81.840000,22.707048
81.880000,22.749785
81.920000,22.791576
81.960000,22.832353
82.000000,22.872051
82.040000,22.910606
82.080000,22.947954
82.120000,22.984037
82.160000,23.018794
82.200000,23.052171
82.240000,23.084113
82.280000,23.114568
82.320000,23.143488
82.360000,23.170826
82.400000,23.196537
82.440000,23.220580
82.480000,23.242914
82.520000,23.263503
82.560000,23.282311
82.600000,23.299305
82.640000,23.314454
82.680000,23.327730
82.720000,23.339104
82.760000,23.348551
82.800000,23.356047
82.840000,23.361570
82.880000,23.365100
82.920000,23.366617
82.960000,23.366104
83.000000,23.363543
83.040000,23.358920
83.080000,23.352222
83.120000,23.343437
83.160000,23.332554
83.200000,23.319564
83.240000,23.304463
83.280000,23.287243
83.320000,23.267905
83.360000,23.246448
83.400000,23.222876
83.440000,23.197195
83.480000,23.169417
83.520000,23.139554
83.560000,23.107627
83.600000,23.073658
83.640000,23.037678
83.680000,22.999721
83.720000,22.959828
83.760000,22.918048
83.800000,22.874435
83.840000,22.829051
83.880000,22.781968
83.920000,22.733263
83.960000,22.683023
84.000000,22.631342
84.040000,22.578324
84.080000,22.524078
84.120000,22.468724
84.160000,22.412388
84.200000,22.355203
84.240000,22.297306
84.280000,22.238842
84.320000,22.179959
84.360000,22.120810
84.400000,22.061548
84.440000,22.002329
84.480000,21.943308
84.520000,21.884638
84.560000,21.826472
84.600000,21.768959
84.640000,21.712241
84.680000,21.656457
84.720000,21.601740
84.760000,21.548213
84.800000,21.495995
84.840000,21.445195
84.880000,21.395911
84.920000,21.348237
84.960000,21.302255
85.000000,21.258038
85.040000,21.215650
85.080000,21.175149
85.120000,21.136582
85.160000,21.099988
85.200000,21.065400
85.240000,21.032842
85.280000,21.002333
85.320000,20.973883
85.360000,20.947500
85.400000,20.923184
85.440000,20.900930
85.480000,20.880730
85.520000,20.862571
85.560000,20.846438
85.600000,20.832310
85.640000,20.820165
85.680000,20.809977
85.720000,20.801720
85.760000,20.795363
85.800000,20.790874
85.840000,20.788218
85.880000,20.787361
85.920000,20.788264
85.960000,20.790887
86.000000,20.795190
86.040000,20.801128
86.080000,20.808655
86.120000,20.817725
86.160000,20.828286
86.200000,20.840287
86.240000,20.853671
86.280000,20.868381
86.320000,20.884354
86.360000,20.901526
86.400000,20.919828
86.440000,20.939188
86.480000,20.959528
86.520000,20.980768
86.560000,21.002821
86.600000,21.025598
86.640000,21.049002
86.680000,21.072933
86.720000,21.097285
86.760000,21.121947
86.800000,21.146804
86.840000,21.171733
86.880000,21.196611
86.920000,21.221306
86.960000,21.245684
87.000000,21.269607
87.040000,21.292934
87.080000,21.315523
87.120000,21.337227
87.160000,21.357900
87.200000,21.377397
87.240000,21.395571
87.280000,21.412279
87.320000,21.427381
87.360000,21.440739
87.400000,21.452222
87.440000,21.461704
87.480000,21.469068
87.520000,21.474203
87.560000,21.477008
87.600000,21.477395
87.640000,21.475286
87.680000,21.470614
87.720000,21.463327
87.760000,21.453388
87.800000,21.440773
87.840000,21.425475
87.880000,21.407502
87.920000,21.386879
87.960000,21.363646
88.000000,21.337862
88.040000,21.309600
88.080000,21.278948
88.120000,21.246013
88.160000,21.210912
88.200000,21.173780
88.240000,21.134760
88.280000,21.094008
88.320000,21.051692
88.360000,21.007983
88.400000,20.963061
88.440000,20.917111
88.480000,20.870318
88.520000,20.822870
88.560000,20.774953
88.600000,20.726748
88.640000,20.678435
88.680000,20.630186
88.720000,20.582164
88.760000,20.534526
88.800000,20.487419
88.840000,20.440979
88.880000,20.395330
88.920000,20.350589
88.960000,20.306856
89.000000,20.264225
89.040000,20.222775
89.080000,20.182577
89.120000,20.143689
89.160000,20.106161
89.200000,20.070034
89.240000,20.035337
89.280000,20.002096
89.320000,19.970326
89.360000,19.940037
89.400000,19.911232
89.440000,19.883910
89.480000,19.858064
89.520000,19.833685
89.560000,19.810757
89.600000,19.789266
89.640000,19.769191
89.680000,19.750512
89.720000,19.733206
89.760000,19.717249
89.800000,19.702616
89.840000,19.689283
89.880000,19.677223
89.920000,19.666411
89.960000,19.656821
90.000000,19.648427
90.040000,19.641205
90.080000,19.635129
90.120000,19.630176
90.160000,19.626321
90.200000,19.623541
90.240000,19.621815
90.280000,19.621120
90.320000,19.621434
90.360000,19.622738
90.400000,19.625010
90.440000,19.628232
90.480000,19.632382
90.520000,19.637443
90.560000,19.643394
90.600000,19.650217
90.640000,19.657891
90.680000,19.666397
90.720000,19.675713
90.760000,19.685820
90.800000,19.696693
90.840000,19.708309
90.880000,19.720643
90.920000,19.733668
90.960000,19.747353
91.000000,19.761668
91.040000,19.776576
91.080000,19.792041
91.120000,19.808020
91.160000,19.824469
91.200000,19.841338
91.240000,19.858572
91.280000,19.876114
91.320000,19.893899
91.360000,19.911858
91.400000,19.929917
91.440000,19.947996
91.480000,19.966010
91.520000,19.983867
91.560000,20.001473
91.600000,20.018726
91.640000,20.035522
91.680000,20.051752
91.720000,20.067306
91.760000,20.082069
91.800000,20.095928
91.840000,20.108770
91.880000,20.120483
91.920000,20.130957
91.960000,20.140091
92.000000,20.147786
92.040000,20.153953
92.080000,20.158513
92.120000,20.161398
92.160000,20.162551
92.200000,20.161930
92.240000,20.159508
92.280000,20.155274
92.320000,20.149232
92.360000,20.141401
92.400000,20.131821
92.440000,20.120542
92.480000,20.107634
92.520000,20.093179
92.560000,20.077271
92.600000,20.060019
92.640000,20.041537
92.680000,20.021951
92.720000,20.001392
92.760000,19.979996
92.800000,19.957899
92.840000,19.935241
92.880000,19.912158
92.920000,19.888787
92.960000,19.865256
93.000000,19.841693
93.040000,19.818216
93.080000,19.794938
93.120000,19.771963
93.160000,19.749390
93.200000,19.727304
93.240000,19.705788
93.280000,19.684912
93.320000,19.664741
93.360000,19.645330
93.400000,19.626727
93.440000,19.608973
93.480000,19.592104
93.520000,19.576148
93.560000,19.561127
93.600000,19.547060
93.640000,19.533961
93.680000,19.521839
93.720000,19.510699
93.760000,19.500545
93.800000,19.491376
93.840000,19.483192
93.880000,19.475987
93.920000,19.469757
93.960000,19.464495
94.000000,19.460193
94.040000,19.456843
94.080000,19.454435
94.120000,19.452962
94.160000,19.452413
94.200000,19.452779
94.240000,19.454051
94.280000,19.456221
94.320000,19.459279
94.360000,19.463217
94.400000,19.468028
94.440000,19.473705
94.480000,19.480240
94.520000,19.487628
94.560000,19.495864
94.600000,19.504942
94.640000,19.514859
94.680000,19.525612
94.720000,19.537197
94.760000,19.549613
94.800000,19.562859
94.840000,19.576933
94.880000,19.591837
94.920000,19.607571
94.960000,19.624137
95.000000,19.641537
95.040000,19.659774
95.080000,19.678853
95.120000,19.698779
95.160000,19.719555
95.200000,19.741190
95.240000,19.763690
95.280000,19.787064
95.320000,19.811319
95.360000,19.836466
95.400000,19.862516
95.440000,19.889480
95.480000,19.917371
95.520000,19.946203
95.560000,19.975990
95.600000,20.006747
95.640000,20.038492
95.680000,20.071243
95.720000,20.105018
95.760000,20.139838
95.800000,20.175724
95.840000,20.212698
95.880000,20.250783
95.920000,20.290006
95.960000,20.330390
96.000000,20.371964
96.040000,20.414754
96.080000,20.458790
96.120000,20.504101
96.160000,20.550717
96.200000,20.598669
96.240000,20.647988
96.280000,20.698705
96.320000,20.750852
96.360000,20.804460
96.400000,20.859558
96.440000,20.916176
96.480000,20.974343
96.520000,21.034084
96.560000,21.095423
96.600000,21.158382
96.640000,21.222978
96.680000,21.289226
96.720000,21.357134
96.760000,21.426708
96.800000,21.497945
96.840000,21.570838
96.880000,21.645372
96.920000,21.721525
96.960000,21.799264
97.000000,21.878551
97.040000,21.959335
97.080000,22.041559
97.120000,22.125154
97.160000,22.210040
97.200000,22.296130
97.240000,22.383324
97.280000,22.471515
97.320000,22.560586
97.360000,22.650412
97.400000,22.740861
97.440000,22.831796
97.480000,22.923075
97.520000,23.014550
97.560000,23.106075
97.600000,23.197502
97.640000,23.288683
97.680000,23.379474
97.720000,23.469737
97.760000,23.559337
97.800000,23.648147
97.840000,23.736049
97.880000,23.822934
97.920000,23.908703
97.960000,23.993266
98.000000,24.076548
98.040000,24.158482
98.080000,24.239013
98.120000,24.318098
98.160000,24.395705
98.200000,24.471814
98.240000,24.546411
98.280000,24.619497
98.320000,24.691078
98.360000,24.761170
98.400000,24.829795
98.440000,24.896983
98.480000,24.962770
98.520000,25.027196
98.560000,25.090306
98.600000,25.152149
98.640000,25.212776
98.680000,25.272242
98.720000,25.330603
98.760000,25.387915
98.800000,25.444235
98.840000,25.499622
98.880000,25.554133
98.920000,25.607825
98.960000,25.660752
99.000000,25.712969
99.040000,25.764528
99.080000,25.815480
99.120000,25.865871
99.160000,25.915746
99.200000,25.965148
99.240000,26.014115
99.280000,26.062682
99.320000,26.110881
99.360000,26.158740
99.400000,26.206281
99.440000,26.253524
99.480000,26.300484
99.520000,26.347171
99.560000,26.393589
99.600000,26.439738
99.640000,26.485613
99.680000,26.531202
99.720000,26.576489
99.760000,26.621452
99.800000,26.666062
99.840000,26.710285
99.880000,26.754080
99.920000,26.797401
99.960000,26.840196
100.000000,26.882405
100.040000,26.923965
100.080000,26.964805
100.120000,27.004849
100.160000,27.044016
100.200000,27.082221
100.240000,27.119372
100.280000,27.155376
100.320000,27.190133
100.360000,27.223543
100.400000,27.255503
100.440000,27.285907
100.480000,27.314649
100.520000,27.341625
100.560000,27.366729
100.600000,27.389858
100.640000,27.410913
100.680000,27.429796
100.720000,27.446416
100.760000,27.460688
100.800000,27.472532
100.840000,27.481877
100.880000,27.488660
100.920000,27.492827
100.960000,27.494336
101.000000,27.493155
101.040000,27.489264
101.080000,27.482657
101.120000,27.473340
101.160000,27.461333
101.200000,27.446670
101.240000,27.429400
101.280000,27.409584
101.320000,27.387302
101.360000,27.362643
101.400000,27.335714
101.440000,27.306631
101.480000,27.275526
101.520000,27.242541
101.560000,27.207828
101.600000,27.171548
101.640000,27.133871
101.680000,27.094971
101.720000,27.055028
101.760000,27.014225
101.800000,26.972747
101.840000,26.930776
101.880000,26.888494
101.920000,26.846079
101.960000,26.803704
102.000000,26.761536
102.040000,26.719733
102.080000,26.678447
102.120000,26.637818
102.160000,26.597979
102.200000,26.559050
102.240000,26.521142
102.280000,26.484356
102.320000,26.448779
102.360000,26.414492
102.400000,26.381563
102.440000,26.350051
102.480000,26.320006
102.520000,26.291470
102.560000,26.264474
102.600000,26.239046
102.640000,26.215203
102.680000,26.192959
102.720000,26.172321
102.760000,26.153292
102.800000,26.135869
102.840000,26.120046
102.880000,26.105815
102.920000,26.093163
102.960000,26.082077
103.000000,26.072540
103.040000,26.064535
103.080000,26.058043
103.120000,26.053042
103.160000,26.049514
103.200000,26.047435
103.240000,26.046784
103.280000,26.047539
103.320000,26.049676
103.360000,26.053174
103.400000,26.058007
103.440000,26.064155
103.480000,26.071592
103.520000,26.080295
103.560000,26.090241
103.600000,26.101404
103.640000,26.113760
103.680000,26.127284
103.720000,26.141950
103.760000,26.157732
103.800000,26.174601
103.840000,26.192530
103.880000,26.211490
103.920000,26.231450
103.960000,26.252378
104.000000,26.274242
104.040000,26.297007
104.080000,26.320638
104.120000,26.345097
104.160000,26.370345
104.200000,26.396342
104.240000,26.423046
104.280000,26.450414
104.320000,26.478399
104.360000,26.506957
104.400000,26.536037
104.440000,26.565592
104.480000,26.595570
104.520000,26.625919
104.560000,26.656587
104.600000,26.687520
104.640000,26.718663
104.680000,26.749963
104.720000,26.781365
104.760000,26.812813
104.800000,26.844254
104.840000,26.875633
104.880000,26.906897
104.920000,26.937994
104.960000,26.968872
105.000000,26.999483
105.040000,27.029778
105.080000,27.059711
105.120000,27.089239
105.160000,27.118320
105.200000,27.146915
105.240000,27.174989
105.280000,27.202507
105.320000,27.229439
105.360000,27.255759
105.400000,27.281442
105.440000,27.306467
105.480000,27.330818
105.520000,27.354481
105.560000,27.377445
105.600000,27.399705
105.640000,27.421257
105.680000,27.442101
105.720000,27.462243
105.760000,27.481690
105.800000,27.500453
105.840000,27.518548
105.880000,27.535992
105.920000,27.552808
105.960000,27.569022
106.000000,27.584661
106.040000,27.599758
106.080000,27.614348
106.120000,27.628468
106.160000,27.642161
106.200000,27.655471
106.240000,27.668443
106.280000,27.681129
106.320000,27.693580
106.360000,27.705851
106.400000,27.718000
106.440000,27.730085
106.480000,27.742168
106.520000,27.754314
106.560000,27.766586
106.600000,27.779052
106.640000,27.791781
106.680000,27.804843
106.720000,27.818307
106.760000,27.832248
106.800000,27.846736
106.840000,27.861846
106.880000,27.877652
106.920000,27.894227
106.960000,27.911646
107.000000,27.929982
107.040000,27.949309
107.080000,27.969699
107.120000,27.991224
107.160000,28.013954
107.200000,28.037958
107.240000,28.063303
107.280000,28.090054
107.320000,28.118274
107.360000,28.148023
107.400000,28.179357
107.440000,28.212330
107.480000,28.246992
107.520000,28.283389
107.560000,28.321562
107.600000,28.361548
107.640000,28.403378
107.680000,28.447079
107.720000,28.492671
107.760000,28.540168
107.800000,28.589577
107.840000,28.640899
107.880000,28.694128
107.920000,28.749251
107.960000,28.806246
108.000000,28.865085
108.040000,28.925731
108.080000,28.988140
108.120000,29.052261
108.160000,29.118033
108.200000,29.185390
108.240000,29.254257
108.280000,29.324554
108.320000,29.396193
108.360000,29.469082
108.400000,29.543121
108.440000,29.618206
108.480000,29.694232
108.520000,29.771086
108.560000,29.848656
108.600000,29.926825
108.640000,30.005478
108.680000,30.084497
108.720000,30.163766
108.760000,30.243168
108.800000,30.322589
108.840000,30.401917
108.880000,30.481041
108.920000,30.559854
108.960000,30.638253
109.000000,30.716136
109.040000,30.793408
109.080000,30.869974
109.120000,30.945746
109.160000,31.020637
109.200000,31.094566
109.240000,31.167453
109.280000,31.239224
109.320000,31.309806
109.360000,31.379131
109.400000,31.447131
109.440000,31.513744
109.480000,31.578907
109.520000,31.642562
109.560000,31.704651
109.600000,31.765119
109.640000,31.823914
109.680000,31.880983
109.720000,31.936278
109.760000,31.989750
109.800000,32.041356
109.840000,32.091051
109.880000,32.138794
109.920000,32.184548
109.960000,32.228277
110.000000,32.269949
110.040000,32.309535
110.080000,32.347010
110.120000,32.382353
110.160000,32.415547
110.200000,32.446580
110.240000,32.475446
110.280000,32.502143
110.320000,32.526675
110.360000,32.549051
110.400000,32.569287
110.440000,32.587406
110.480000,32.603435
110.520000,32.617409
110.560000,32.629368
110.600000,32.639360
110.640000,32.647436
110.680000,32.653657
110.720000,32.658086
110.760000,32.660793
110.800000,32.661852
110.840000,32.661344
110.880000,32.659351
110.920000,32.655960
110.960000,32.651262
111.000000,32.645349
111.040000,32.638315
111.080000,32.630258
111.120000,32.621274
111.160000,32.611460
111.200000,32.600915
111.240000,32.589734
111.280000,32.578013
111.320000,32.565845
111.360000,32.553323
111.400000,32.540536
111.440000,32.527569
111.480000,32.514508
111.520000,32.501430
111.560000,32.488414
111.600000,32.475533
111.640000,32.462854
111.680000,32.450444
111.720000,32.438364
