theta,omega
2.8135096370,-0.6428811131
2.5649412703,-0.9454954416
2.8200555137,-0.6406043023
2.5431250173,-0.9609317773
2.7179539819,-1.0585140347
2.5936303149,-0.9738193270
3.0632943797,-0.9068224572
2.4392222113,-1.0408191129
3.1226505143,-0.8437192464
2.6127682983,-1.1064706072
2.6307959340,-0.7802386895
2.5333862732,-1.0220230858
3.0381322823,-0.8501727194
2.3131314196,-1.1404441817
3.0613343416,-0.8531184299
2.2099814075,-1.2249192059
3.0405243718,-0.6141658071
3.0704230439,-0.9028318334
2.3650557549,-1.0970933138
3.0586340247,-0.7907243479
2.2882912836,-1.2521324721
3.0719399829,-0.5847486085
3.0679252811,-0.9018437532
2.3738040771,-1.0954706600
3.0628118422,-0.7948208493
2.2560088884,-1.2641807038
3.0505686498,-0.6065152353
2.7259299839,-0.8616217334
2.4451798832,-1.1175190052
3.0418328873,-0.8474404844
2.2767690747,-1.1688008162
3.1148817853,-0.5556434750
2.5771087650,-1.0958949759
3.0286343009,-0.8271952386
2.2418514433,-1.1996185593
3.0683857139,-0.5869683397
2.4952884222,-1.1241661650
3.1144785608,-0.8453003015
2.4200093169,-1.1955344044
3.1223315221,-0.7390804069
2.2350020587,-1.0689269779
3.1388764495,-0.5351156837
3.0470632863,-0.8012701740
2.1702989121,-1.2899905325
2.9738804219,-0.6616647209
2.6389117467,-1.0929124657
2.5656441743,-0.9968802073
2.4802696582,-0.8957589079
3.0665499701,-0.9023176263
2.3843394235,-1.0872071570
3.0443564176,-0.8174850592
2.1701045804,-1.2629738938
2.9949615279,-0.6497973662
3.0525874433,-0.8522690142
2.2283810893,-1.2110879979
3.0532197101,-0.5989711081
3.0939675382,-0.8516060587
2.1704225610,-1.2904282434
2.9807424700,-0.6621280765
2.6893500915,-1.0690408740
2.9300792510,-0.5567465530
3.0655376991,-0.4527244017
2.5132651005,-1.1177195707
2.8316913219,-0.9910741281
2.0978200187,-1.1633777921
2.9997248333,-0.6450719033
2.4360015649,-1.1224587245
3.0335316963,-0.8430619823
2.2844891945,-1.1650671894
3.1155106488,-0.5505135560
2.8497430447,-0.9863635581
2.6196610333,-0.9511497932
3.0319140813,-0.8452880907
2.3150060030,-1.1372512692
3.0370534653,-0.8249097555
2.2059183100,-1.2265125498
3.0376788222,-0.6148223056
2.7892070150,-0.6633761983
2.7910654746,-0.7667786365
3.1244024737,-0.5165978713
3.0359567623,-0.8198552696
2.2000257479,-1.2391523604
3.0187397053,-0.6282247783
3.0411375765,-0.8107975809
2.1670812176,-1.2737169077
2.9797370301,-0.6581871822
2.8547029010,-0.9988374308
2.9396666333,-0.5452304181
2.5862492888,-1.0914984939
3.0862867179,-0.8536074882
2.1584298640,-1.2848188769
2.9760264361,-0.6656696420
2.5162910859,-1.1486921992
3.1236288484,-0.8435860603
2.6387950917,-1.0945651765
2.1175007020,-1.1497591260
3.0200169745,-0.6270386222
3.0360042233,-0.9122721998
2.6177589279,-0.9051397415
2.6727285330,-0.9057460332
2.1428611470,-1.1325462766
3.0453590703,-0.6070427569
2.8402569271,-0.7706557884
2.9870079361,-0.6175298794
2.5276659814,-1.0236746408
3.0300487313,-0.8429714335
2.3070331720,-1.1422826953
3.0880354010,-0.8500327484
2.1724957912,-1.2893422137
2.9746785420,-0.6635946395
2.5805440466,-1.1218219242
3.1142860737,-0.8462883289
2.4123880896,-1.1984354327
3.0655105954,-0.8538072943
2.1877364260,-1.2424753721
3.0175899189,-0.6302998321
2.8522548680,-0.6162032596
2.2611289904,-1.1829925613
