# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=9769072114597365883
# defects: count=50 radius=3 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,5.743990e-2,-3.336514e-3,5.585951e-4,2.090000e2,2.830000e1,-4.400874e-1
1.000000e-2,50,2.070110e-2,-3.222342e-3,4.882336e-4,2.090000e2,3.478000e1,-4.460714e-1
2.000000e-2,50,1.146511e-2,-4.198809e-3,1.074114e-3,2.090000e2,3.606000e1,-4.468728e-1
3.000000e-2,50,1.035055e-2,-5.370569e-3,6.835270e-4,2.090000e2,3.966000e1,-4.473951e-1
4.000000e-2,50,9.569378e-3,-3.710575e-3,7.811737e-4,2.090000e2,4.160000e1,-4.477472e-1
5.000000e-2,50,7.030563e-3,-4.589396e-3,6.835270e-4,2.090000e2,4.300000e1,-4.479661e-1
