# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=100 radius=3 spacing=32 alpha_default=1 alpha_defect=-1
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,10,2.158362e-1,-1.023803e-2,-6.422016e-3,2.090000e2,1.910000e1,-3.742090e-1
1.000000e-2,10,1.056282e-1,-1.985511e-2,-1.389290e-2,2.090000e2,2.770000e1,-4.122049e-1
2.000000e-2,10,7.892684e-2,-2.176381e-2,-8.807580e-3,2.090000e2,3.330000e1,-4.207551e-1
3.000000e-2,10,5.120820e-2,-2.258388e-2,4.207776e-3,2.090000e2,4.150000e1,-4.245193e-1
4.000000e-2,10,4.532109e-2,-1.798942e-2,-4.232804e-3,2.090000e2,4.610000e1,-4.266233e-1
5.000000e-2,10,5.123197e-2,-2.804233e-2,-7.936508e-3,2.090000e2,5.300000e1,-4.278089e-1
