# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=1000 measure_steps=2000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=49 radius=3 spacing=40 alpha_default=1 alpha_defect=-0.2
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,20,4.786303e-2,5.548929e-3,-6.854180e-3,6.400000e1,1.425000e1,-4.618937e-1
5.000000e-3,20,3.625094e-2,-9.150466e-3,-7.162682e-3,6.400000e1,1.475000e1,-4.643849e-1
1.000000e-2,20,2.402878e-2,-1.559832e-3,-6.158619e-3,6.400000e1,1.500000e1,-4.666971e-1
1.500000e-2,20,3.205434e-2,-8.513932e-3,-5.417957e-3,6.400000e1,1.750000e1,-4.678174e-1
2.000000e-2,20,3.235949e-2,-1.560695e-2,-4.620859e-5,6.400000e1,1.935000e1,-4.685792e-1
2.500000e-2,20,2.171513e-2,-8.035824e-3,2.441418e-3,6.400000e1,2.110000e1,-4.696520e-1
3.000000e-2,20,3.110463e-2,-1.700405e-2,0.000000e0,6.400000e1,2.135000e1,-4.701245e-1
3.500000e-2,20,1.348064e-2,-9.033401e-3,-1.632085e-3,6.400000e1,2.385000e1,-4.705750e-1
4.000000e-2,20,1.678800e-2,-8.223684e-3,8.223684e-4,6.400000e1,2.400000e1,-4.706947e-1
4.499999e-2,20,1.973684e-2,-1.315789e-2,3.289474e-3,6.400000e1,2.500000e1,-4.707357e-1
4.999999e-2,20,1.809211e-2,-1.151316e-2,1.644737e-3,6.400000e1,2.500000e1,-4.707059e-1
