# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=128 ny=128 dt=0.01 dx=1 flux_n=16 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=16 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,50,1.680672e-2,-2.400960e-3,-4.801921e-3,1.600000e1,6.000000e0,-4.621426e-1
1.000000e-2,50,1.658163e-2,-3.826531e-3,-5.102041e-3,1.600000e1,5.040000e0,-4.636454e-1
2.000000e-2,50,3.114058e-2,-2.168367e-2,-7.653061e-3,1.600000e1,5.540000e0,-4.644022e-1
3.000000e-2,50,1.275510e-2,-1.147959e-2,-1.275510e-3,1.600000e1,7.960000e0,-4.656052e-1
4.000000e-2,50,8.928571e-3,-6.377551e-3,-2.551020e-3,1.600000e1,8.000000e0,-4.655530e-1
5.000000e-2,50,6.377551e-3,-6.377551e-3,0.000000e0,1.600000e1,8.000000e0,-4.653079e-1
