# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=5000 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=100 radius=3 spacing=32 alpha_default=1 alpha_defect=-1
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,10,5.676684e-2,-1.105109e-2,5.240380e-4,2.090000e2,3.980000e1,-4.246629e-1
1.000000e-2,10,4.858647e-2,-1.111111e-2,-2.116402e-3,2.090000e2,4.430000e1,-4.267455e-1
2.000000e-2,10,4.490442e-2,-2.121972e-2,-2.648034e-3,2.090000e2,5.000000e1,-4.279312e-1
3.000000e-2,10,2.711324e-2,-1.967039e-2,-4.253057e-3,2.090000e2,5.250000e1,-4.286238e-1
4.000000e-2,10,3.893814e-2,-2.658161e-2,-2.658161e-3,2.090000e2,5.530000e1,-4.291771e-1
5.000000e-2,10,2.923977e-2,-1.701223e-2,-5.316321e-4,2.090000e2,6.040000e1,-4.297566e-1
